"problem_id","topic","subtopic","grade_level","difficulty_level","source","problem_length_words","num_sentences","num_entities","equation_count","equation_complexity_score","total_attempts","avg_solving_time_seconds","success_rate","avg_attempts_to_solve","verified_by_human","last_updated"
"PROB_016","Ratios","Direct Variation","10","5","User-Generated","200","4","5","4","10","50","420","0.6251842346574138","1.6","1","2024-08-04 00:00:00"
"PROB_017","Probability","Conditional Probability","8","2","User-Generated","148","2","3","4","2","50","251","0.7651667936128471","1.4","0","2024-10-22 00:00:00"
"PROB_018","Arithmetic","Percentages","9","5","Synthetic","269","4","10","4","8","32","420","0.5740921580418018","1.9","0","2024-09-09 00:00:00"
"PROB_019","Number Theory","Number Patterns","6","4","User-Generated","50","8","10","1","7","29","355","0.501819503769426","2.1","1","2024-08-14 00:00:00"
"PROB_020","Algebra","Factorization","7","3","NCERT","50","5","2","1","5","10","298","0.6545979202419437","1.2","1","2024-09-16 00:00:00"
"PROB_021","Mensuration","Curved Surface Area","6","5","Synthetic","162","5","4","4","9","7","420","0.3","2.2","1","2024-09-06 00:00:00"
"PROB_022","Trigonometry","Equations","6","3","NCERT","77","7","7","2","5","21","297","","2.5","1","2024-09-12 00:00:00"
"PROB_023","Trigonometry","Identities","10","3","User-Generated","179","7","6","3","5","8","389","0.8411902617774659","1.2","1","2024-08-25 00:00:00"
"PROB_024","Trigonometry","Equations","12","1","User-Generated","175","5","8","2","2","39","200","0.8512842734915145","1.5","0","2024-09-12 00:00:00"
"PROB_025","Arithmetic","Time and Work","9","2","User-Generated","50","8","5","3","2","18","390","0.8564350850615267","1.7","1","2024-10-13 00:00:00"
"PROB_026","Geometry","Triangles","12","3","User-Generated","212","4","10","3","5","50","420","0.6919162133686235","1.6","0","2024-10-07 00:00:00"
"PROB_027","Geometry","Quadrilaterals","9","3","Synthetic","142","5","5","2","4","50","380","","2.5","1","2024-11-01 00:00:00"
"PROB_028","Geometry","Similarity","9","3","Synthetic","98","6","6","1","4","50","383","0.763197095319733","1.5","0","2024-10-26 00:00:00"
"PROB_029","Mensuration","Volume","6","2","NCERT","176","3","7","1","3","7","329","0.6499109138891758","1.5","1","2024-08-07 00:00:00"
"PROB_030","Algebra","Inequalities","11","2","Synthetic","116","5","8","2","5","48","360","0.8577396782912796","1.3","1","2024-09-26 00:00:00"
"PROB_031","Mensuration","Perimeter","11","2","NCERT","186","6","3","2","5","13","389","0.6792977768908586","1.5","1","2024-10-11 00:00:00"
"PROB_032","Ratios","Direct Variation","7","1","NCERT","300","4","4","2","2","34","322","0.8997447969773757","1.0","1","2024-09-14 00:00:00"
"PROB_033","Algebra","Systems of Equations","12","3","NCERT","239","7","6","1","6","34","420","0.6329382099227367","1.7","0","2024-09-24 00:00:00"
"PROB_034","Probability","Basic Probability","9","3","User-Generated","214","7","10","1","9","12","395","0.5855175744263544","1.8","1","2024-08-29 00:00:00"
"PROB_035","Geometry","Circles","7","2","NCERT","104","2","7","4","2","50","333","0.8796886846230172","1.1","1","2024-10-30 00:00:00"
"PROB_036","Trigonometry","Equations","11","3","NCERT","135","8","6","2","6","38","365","","2.0","1","2024-10-15 00:00:00"
"PROB_037","Algebra","Quadratic Equations","8","4","NCERT","114","8","10","2","6","47","420","","1.4","1","2024-10-16 00:00:00"
"PROB_038","Algebra","Systems of Equations","8","1","Synthetic","253","2","6","4","2","6","285","0.8030761529182925","1.8","1","2024-08-18 00:00:00"
"PROB_039","Algebra","Systems of Equations","6","2","User-Generated","217","5","6","2","5","50","418","0.6643932186939078","1.9","1","2024-09-02 00:00:00"
"PROB_040","Geometry","Solid Geometry","11","4","User-Generated","156","4","3","4","10","12","420","0.43105833738397314","2.2","1","2024-10-31 00:00:00"
"PROB_041","Ratios","Ratio and Proportion","8","3","NCERT","158","6","4","4","4","14","329","0.6530128186534351","1.5","1","2024-09-17 00:00:00"
"PROB_042","Mensuration","Surface Area","11","1","User-Generated","151","7","10","1","2","31","318","0.95","1.0","1","2024-09-18 00:00:00"
"PROB_043","Geometry","Circles","11","4","User-Generated","282","6","2","4","8","16","420","0.6337678642089724","1.7","0","2024-09-29 00:00:00"
"PROB_044","Ratios","Continued Proportions","10","5","NCERT","285","6","5","1","10","26","420","0.39514099305693245","2.3","1","2024-10-05 00:00:00"
"PROB_045","Geometry","Circles","10","2","Synthetic","68","2","6","1","3","38","271","0.9161398386848673","1.2","0","2024-09-02 00:00:00"
"PROB_046","Algebra","Inequalities","12","1","NCERT","254","3","3","3","2","23","307","","1.2","1","2024-09-13 00:00:00"
"PROB_047","Geometry","Angles","10","5","NCERT","50","8","6","3","10","43","420","0.5790969015246918","1.9","1","2024-10-29 00:00:00"
"PROB_048","Mensuration","Curved Surface Area","11","4","Synthetic","253","2","6","2","7","28","420","0.6727182496679653","1.9","1","2024-08-24 00:00:00"
"PROB_049","Statistics","Standard Deviation","11","1","NCERT","148","7","7","2","2","32","349","0.8546236468468176","1.4","1","2024-10-03 00:00:00"
"PROB_050","Ratios","Ratio and Proportion","8","3","NCERT","205","4","5","4","4","10","322","0.7899661394549552","1.4","1","2024-09-26 00:00:00"
"PROB_051","Geometry","Triangles","10","5","User-Generated","218","4","5","1","8","29","420","0.5033584322750528","1.7","1","2024-09-24 00:00:00"
"PROB_052","Ratios","Direct Variation","6","2","Synthetic","62","7","6","3","5","10","292","0.7077070397330271","1.6","1","2024-10-11 00:00:00"
"PROB_053","Arithmetic","Time and Work","12","1","User-Generated","177","3","7","4","2","48","278","","1.5","1","2024-08-28 00:00:00"
"PROB_054","Probability","Basic Probability","8","2","User-Generated","232","8","7","2","5","26","354","0.5924682171221162","1.8","1","2024-08-14 00:00:00"
"PROB_055","Ratios","Direct Variation","7","3","User-Generated","145","2","7","1","4","11","420","0.7475009481357854","1.4","0","2024-10-02 00:00:00"
"PROB_056","Mensuration","Area","12","2","NCERT","165","2","6","3","3","10","353","0.6563909579152513","1.3","0","2024-08-08 00:00:00"
"PROB_057","Number Theory","Modular Arithmetic","8","1","User-Generated","195","6","2","2","4","22","258","","2.3","1","2024-08-12 00:00:00"
"PROB_058","Probability","Expected Value","8","2","User-Generated","188","7","7","1","4","38","408","","1.1","0","2024-09-12 00:00:00"
"PROB_059","Algebra","Logarithms","6","5","User-Generated","82","4","4","1","8","13","420","0.5548927109054484","1.8","1","2024-08-16 00:00:00"
"PROB_060","Algebra","Systems of Equations","12","3","Synthetic","153","3","5","1","5","24","339","0.5608419338502924","1.8","0","2024-09-19 00:00:00"
"PROB_061","Geometry","Quadrilaterals","11","3","NCERT","189","8","4","2","6","11","420","0.651701726138885","2.2","1","2024-08-31 00:00:00"
"PROB_062","Algebra","Systems of Equations","7","1","User-Generated","239","7","8","4","3","33","322","0.9007392914447377","1.3","1","2024-09-05 00:00:00"
"PROB_063","Probability","Expected Value","9","4","Synthetic","59","2","6","1","10","26","420","0.7009291716871529","1.8","1","2024-09-03 00:00:00"
"PROB_064","Geometry","Coordinate Geometry","10","1","User-Generated","208","6","3","4","2","9","364","0.9180075191453447","1.3","1","2024-09-02 00:00:00"
"PROB_065","Number Theory","Divisibility","7","4","User-Generated","279","5","6","3","9","6","420","0.5223132466262074","1.9","1","2024-10-09 00:00:00"
"PROB_066","Algebra","Quadratic Equations","8","2","NCERT","222","6","2","2","2","50","281","0.7553592573779897","1.6","1","2024-10-19 00:00:00"
"PROB_067","Ratios","Direct Variation","12","2","User-Generated","189","5","5","2","2","35","279","0.75689151064371","1.2","0","2024-09-06 00:00:00"
"PROB_068","Mensuration","Curved Surface Area","9","3","User-Generated","166","4","3","1","6","10","420","0.6211621276636323","1.9","0","2024-10-07 00:00:00"
"PROB_069","Arithmetic","Compound Interest","9","1","NCERT","120","4","3","2","2","14","201","0.8928461957510743","1.0","1","2024-10-31 00:00:00"
"PROB_070","Geometry","Quadrilaterals","11","5","NCERT","239","3","5","4","8","5","420","0.5449908841251802","2.4","0","2024-10-28 00:00:00"
"PROB_071","Number Theory","Modular Arithmetic","8","2","Synthetic","188","8","3","3","3","19","383","0.7910796381536812","1.3","1","2024-10-17 00:00:00"
"PROB_072","Algebra","Exponents","8","1","User-Generated","213","4","4","4","2","50","304","0.7251287277796747","1.3","1","2024-09-01 00:00:00"
"PROB_073","Probability","Expected Value","12","1","User-Generated","155","5","7","1","2","11","256","0.8257456173732579","1.0","1","2024-09-22 00:00:00"
"PROB_074","Algebra","Factorization","12","5","User-Generated","220","4","6","2","10","50","420","0.502262653859963","2.5","1","2024-08-18 00:00:00"
"PROB_075","Probability","Probability Distributions","7","2","NCERT","263","6","6","1","3","28","335","0.7743729462958465","1.2","1","2024-10-19 00:00:00"
"PROB_076","Mensuration","Volume","8","2","User-Generated","50","2","2","1","3","45","248","0.7884116908977896","2.0","0","2024-10-24 00:00:00"
"PROB_077","Trigonometry","Trigonometric Ratios","8","4","User-Generated","182","2","7","4","9","36","420","0.5960623826133162","1.9","1","2024-10-05 00:00:00"
"PROB_078","Arithmetic","Compound Interest","12","3","NCERT","240","7","2","4","4","17","384","0.6360289718552056","1.4","1","2024-10-12 00:00:00"
"PROB_079","Mensuration","Area","9","4","NCERT","235","8","5","2","6","5","420","0.6616547048631966","1.6","1","2024-09-25 00:00:00"
"PROB_080","Trigonometry","Heights and Distances","9","4","User-Generated","123","4","4","3","7","8","375","0.5169032665860306","2.2","1","2024-10-27 00:00:00"
"PROB_081","Mensuration","Surface Area","11","5","NCERT","163","4","6","1","10","15","420","0.5098328204894027","1.9","1","2024-10-22 00:00:00"
"PROB_082","Geometry","Solid Geometry","11","4","NCERT","97","8","4","2","7","5","420","0.47725081842875106","2.1","1","2024-09-08 00:00:00"
"PROB_083","Probability","Basic Probability","8","2","Synthetic","185","8","7","2","2","21","356","0.8258021169698286","1.3","1","2024-08-28 00:00:00"
"PROB_084","Geometry","Coordinate Geometry","10","3","Synthetic","121","4","3","1","6","35","375","0.6321966531268481","1.6","1","2024-10-29 00:00:00"
"PROB_085","Probability","Permutations","6","2","NCERT","50","4","3","4","4","14","225","0.7393986656366482","1.5","1","2024-09-06 00:00:00"
"PROB_086","Ratios","Inverse Variation","7","4","Synthetic","188","7","6","4","9","27","420","0.565176938298042","2.0","1","2024-09-19 00:00:00"
"PROB_087","Ratios","Direct Variation","8","1","User-Generated","217","7","5","2","2","50","233","","2.2","1","2024-09-21 00:00:00"
"PROB_088","Algebra","Logarithms","9","2","Synthetic","105","2","8","2","3","17","301","0.7228068395384626","1.4","1","2024-10-20 00:00:00"
"PROB_089","Algebra","Exponents","7","3","NCERT","180","2","2","3","5","20","379","0.6517972714249637","1.8","1","2024-10-05 00:00:00"
"PROB_090","Geometry","Congruence","7","1","Synthetic","120","4","8","4","2","10","259","0.8619945336050713","1.1","0","2024-10-29 00:00:00"
"PROB_091","Number Theory","LCM and HCF","12","4","Synthetic","167","4","5","4","8","13","420","0.6289867613271282","1.7","1","2024-10-28 00:00:00"
"PROB_092","Arithmetic","Time and Work","8","1","User-Generated","237","8","8","1","2","30","178","0.8460827848782221","1.0","1","2024-10-15 00:00:00"
"PROB_093","Arithmetic","Simple Interest","6","3","Synthetic","177","8","7","1","4","14","394","","1.6","1","2024-08-27 00:00:00"
"PROB_094","Statistics","Standard Deviation","6","5","NCERT","216","6","2","2","7","50","420","0.48897315521761536","2.2","0","2024-10-11 00:00:00"
"PROB_095","Trigonometry","Angles","8","5","User-Generated","298","8","4","2","7","6","420","0.5067713032404646","2.1","1","2024-10-09 00:00:00"
"PROB_096","Probability","Permutations","11","3","User-Generated","196","3","4","2","5","50","374","0.7385592330382802","1.3","1","2024-10-20 00:00:00"
"PROB_097","Probability","Expected Value","8","2","User-Generated","139","8","6","2","4","36","298","0.7700160165001355","1.0","0","2024-08-06 00:00:00"
"PROB_098","Algebra","Exponents","7","1","Synthetic","180","3","2","1","2","8","283","0.9089898508208659","1.4","1","2024-08-13 00:00:00"
"PROB_099","Probability","Permutations","7","4","User-Generated","150","3","6","3","7","45","344","","2.3","1","2024-08-26 00:00:00"
"PROB_100","Mensuration","Surface Area","8","4","User-Generated","156","6","2","4","7","15","420","0.5008610705161043","2.0","1","2024-10-26 00:00:00"
"PROB_101","Mensuration","Volume","7","3","Synthetic","167","3","5","4","3","10","333","0.5102037532243948","2.0","1","2024-10-11 00:00:00"
"PROB_102","Algebra","Factorization","10","1","Synthetic","162","6","6","1","2","19","207","0.8905665007007639","1.0","1","2024-08-29 00:00:00"
"PROB_103","Algebra","Polynomials","10","2","User-Generated","262","6","2","1","3","12","375","","1.9","1","2024-09-22 00:00:00"
"PROB_104","Geometry","Congruence","10","1","NCERT","137","3","3","4","2","50","270","0.7379664351735385","1.6","0","2024-10-25 00:00:00"
"PROB_105","Algebra","Quadratic Equations","8","5","User-Generated","58","8","6","1","10","13","420","0.4503274406140365","2.0","1","2024-11-01 00:00:00"
"PROB_106","Statistics","Mean Median Mode","7","3","Synthetic","263","6","5","4","3","11","356","","2.2","1","2024-09-22 00:00:00"
"PROB_107","Trigonometry","Trigonometric Ratios","10","4","Synthetic","151","5","3","1","9","23","420","0.5275184282182732","2.0","1","2024-09-27 00:00:00"
"PROB_108","Algebra","Polynomials","7","2","NCERT","117","8","3","4","2","8","321","0.8387030705980292","1.5","1","2024-10-30 00:00:00"
"PROB_109","Arithmetic","Simple Interest","10","4","NCERT","190","2","10","1","9","50","420","0.5279438245663307","2.1","0","2024-09-06 00:00:00"
"PROB_110","Number Theory","Modular Arithmetic","9","3","Synthetic","165","5","5","2","5","7","378","0.6036757961642197","2.0","1","2024-09-05 00:00:00"
"PROB_111","Ratios","Ratio and Proportion","6","2","User-Generated","300","4","8","3","5","50","381","0.8254054838828951","1.5","1","2024-09-13 00:00:00"
"PROB_112","Probability","Combinations","11","4","Synthetic","230","5","8","1","6","16","420","0.5446889905928023","2.0","1","2024-09-13 00:00:00"
"PROB_113","Ratios","Continued Proportions","9","2","User-Generated","68","8","3","2","4","50","289","","1.1","1","2024-08-08 00:00:00"
"PROB_114","Algebra","Logarithms","11","3","Synthetic","241","5","9","3","7","36","420","0.6026115235478358","1.8","1","2024-09-08 00:00:00"
"PROB_115","Trigonometry","Angles","7","5","User-Generated","180","6","4","1","9","9","420","0.3","2.4","0","2024-10-20 00:00:00"
"PROB_116","Algebra","Inequalities","9","2","Synthetic","216","3","2","4","4","13","304","0.7730923144645987","1.5","0","2024-10-13 00:00:00"
"PROB_117","Probability","Permutations","9","2","User-Generated","148","5","5","1","4","9","338","0.6525661098587909","1.4","1","2024-09-27 00:00:00"
"PROB_118","Geometry","Triangles","11","1","NCERT","85","3","6","3","2","48","220","0.8406587267363802","1.2","0","2024-09-15 00:00:00"
"PROB_119","Arithmetic","Profit and Loss","12","4","NCERT","268","3","6","4","8","38","420","0.553064047001794","1.7","1","2024-09-10 00:00:00"
"PROB_120","Geometry","Solid Geometry","7","2","Synthetic","232","6","5","2","3","12","355","0.7927853869076729","1.7","1","2024-11-01 00:00:00"
"PROB_121","Probability","Probability Distributions","6","3","Synthetic","127","6","6","1","4","22","385","0.667231720436503","1.5","1","2024-09-30 00:00:00"
"PROB_122","Trigonometry","Heights and Distances","12","5","Synthetic","170","6","5","2","10","50","420","0.33524277265202507","2.1","1","2024-08-22 00:00:00"
"PROB_123","Ratios","Ratio and Proportion","8","2","NCERT","175","8","2","4","4","7","258","0.7186023115151302","1.5","0","2024-10-06 00:00:00"
"PROB_124","Algebra","Inequalities","7","3","NCERT","94","8","4","2","7","50","359","0.6283872006093869","1.9","1","2024-08-05 00:00:00"
"PROB_125","Ratios","Continued Proportions","12","3","Synthetic","142","4","5","1","6","26","420","0.6675827458739569","1.8","1","2024-08-19 00:00:00"
"PROB_126","Ratios","Direct Variation","7","3","User-Generated","175","3","5","2","5","15","395","0.6169115573262685","2.1","1","2024-08-29 00:00:00"
"PROB_127","Algebra","Logarithms","10","5","User-Generated","138","2","5","4","10","5","420","0.46805585102492187","2.2","1","2024-10-27 00:00:00"
"PROB_128","Algebra","Linear Equations","10","5","User-Generated","179","3","6","4","9","18","420","","1.6","1","2024-09-04 00:00:00"
"PROB_129","Algebra","Inequalities","12","1","NCERT","253","5","4","2","2","42","283","0.7567009684912555","1.1","0","2024-10-27 00:00:00"
"PROB_130","Statistics","Frequency Distribution","8","1","Synthetic","50","5","6","3","2","17","192","0.95","1.0","1","2024-08-21 00:00:00"
"PROB_131","Geometry","Quadrilaterals","10","2","NCERT","81","3","5","1","5","9","370","0.7201070337388664","1.5","0","2024-09-21 00:00:00"
"PROB_132","Statistics","Frequency Distribution","7","3","NCERT","198","7","4","2","7","18","381","0.6046410019352458","1.7","1","2024-09-27 00:00:00"
"PROB_133","Probability","Basic Probability","8","5","NCERT","155","3","5","3","8","18","420","","1.6","1","2024-10-20 00:00:00"
"PROB_134","Geometry","Solid Geometry","12","2","NCERT","180","2","5","1","4","7","409","0.7456015085359281","1.4","1","2024-10-02 00:00:00"
"PROB_135","Mensuration","Curved Surface Area","9","5","NCERT","300","5","5","1","9","50","420","0.3920602774353328","2.4","1","2024-10-06 00:00:00"
"PROB_136","Arithmetic","Compound Interest","10","4","User-Generated","199","5","4","2","6","21","420","0.5332783120278912","2.0","1","2024-09-15 00:00:00"
"PROB_137","Algebra","Polynomials","10","3","User-Generated","134","6","2","3","4","36","366","0.501367883888137","2.0","1","2024-09-27 00:00:00"
"PROB_138","Mensuration","Volume","10","2","Synthetic","179","3","5","3","2","50","309","0.6421477140785388","1.9","0","2024-10-02 00:00:00"
"PROB_139","Geometry","Quadrilaterals","9","1","NCERT","256","6","4","1","2","50","209","0.818429855024128","1.3","0","2024-10-25 00:00:00"
"PROB_140","Geometry","Triangles","7","3","NCERT","50","8","5","2","7","7","420","0.7444392702378368","2.0","1","2024-10-06 00:00:00"
"PROB_141","Statistics","Frequency Distribution","9","2","User-Generated","279","5","10","3","5","26","406","0.7082811483715385","1.6","1","2024-10-03 00:00:00"
"PROB_142","Statistics","Variance","11","3","Synthetic","123","2","7","1","6","7","301","0.6178409953859492","1.9","1","2024-10-29 00:00:00"
"PROB_143","Ratios","Continued Proportions","7","1","User-Generated","234","5","4","2","2","50","301","0.95","1.1","1","2024-09-27 00:00:00"
"PROB_144","Ratios","Ratio and Proportion","8","5","NCERT","115","4","8","2","8","19","420","","1.9","0","2024-09-25 00:00:00"
"PROB_145","Geometry","Circles","9","1","Synthetic","269","8","5","3","2","19","301","0.8189840066873151","1.3","1","2024-10-27 00:00:00"
"PROB_146","Probability","Expected Value","11","5","Synthetic","116","2","4","1","9","50","420","0.49194608287983244","1.5","1","2024-08-14 00:00:00"
"PROB_147","Trigonometry","Heights and Distances","8","1","NCERT","257","3","7","1","3","18","351","","1.5","1","2024-08-27 00:00:00"
"PROB_148","Number Theory","LCM and HCF","9","5","NCERT","148","2","4","4","10","37","420","0.6345616733562889","1.7","1","2024-09-07 00:00:00"
"PROB_149","Ratios","Ratio and Proportion","8","4","User-Generated","248","4","7","1","8","50","420","0.45650071772054995","1.7","1","2024-08-07 00:00:00"
"PROB_150","Geometry","Coordinate Geometry","10","2","NCERT","101","3","4","1","2","19","287","","2.0","1","2024-09-05 00:00:00"
"PROB_151","Algebra","Quadratic Equations","9","2","User-Generated","153","3","5","2","4","50","360","0.8502471133841661","1.4","0","2024-08-21 00:00:00"
"PROB_152","Arithmetic","Profit and Loss","7","2","NCERT","117","5","4","1","2","31","333","0.7983296711670814","1.4","1","2024-10-15 00:00:00"
"PROB_153","Trigonometry","Equations","11","1","User-Generated","234","3","2","1","2","16","226","0.95","1.1","1","2024-08-30 00:00:00"
"PROB_154","Mensuration","Area","12","2","Synthetic","219","6","6","1","5","43","336","0.8095348568252028","1.1","1","2024-09-12 00:00:00"
"PROB_155","Geometry","Quadrilaterals","8","4","Synthetic","94","8","7","4","9","33","420","0.5942690855018099","1.7","1","2024-10-06 00:00:00"
"PROB_156","Number Theory","LCM and HCF","7","1","NCERT","205","8","5","2","3","6","316","0.8198471740472121","1.6","0","2024-08-06 00:00:00"
"PROB_157","Number Theory","Modular Arithmetic","10","5","Synthetic","264","2","4","1","9","21","420","0.5361110031687093","1.9","1","2024-09-02 00:00:00"
"PROB_158","Ratios","Direct Variation","7","4","User-Generated","92","8","3","1","4","50","408","0.6043660548128513","1.9","1","2024-08-06 00:00:00"
"PROB_159","Geometry","Solid Geometry","8","1","User-Generated","180","5","5","4","2","46","266","0.901781398915239","1.0","0","2024-08-26 00:00:00"
"PROB_160","Number Theory","Number Patterns","11","1","User-Generated","77","3","3","2","2","18","270","0.8258909503647851","1.0","1","2024-10-02 00:00:00"
"PROB_161","Geometry","Similarity","10","5","NCERT","164","6","3","1","9","19","420","","2.3","1","2024-10-16 00:00:00"
"PROB_162","Trigonometry","Identities","11","2","NCERT","164","4","7","1","2","6","233","","1.3","1","2024-09-06 00:00:00"
"PROB_163","Mensuration","Curved Surface Area","9","4","User-Generated","196","8","10","4","6","20","420","0.3661510730296204","2.2","1","2024-08-05 00:00:00"
"PROB_164","Mensuration","Perimeter","6","4","NCERT","179","3","3","1","7","14","420","0.6822893814793829","1.9","1","2024-08-10 00:00:00"
"PROB_165","Statistics","Variance","8","2","Synthetic","300","5","6","3","4","40","395","0.7067099701972126","1.8","0","2024-08-22 00:00:00"
"PROB_166","Ratios","Continued Proportions","12","3","User-Generated","197","3","7","3","6","50","356","0.44292666942366404","2.5","1","2024-10-07 00:00:00"
"PROB_167","Arithmetic","Speed Distance Time","9","1","NCERT","184","3","10","2","2","25","243","0.7417817169756565","1.6","1","2024-10-26 00:00:00"
"PROB_168","Trigonometry","Equations","7","3","NCERT","190","3","9","1","8","37","391","0.5936142263201614","2.2","1","2024-08-09 00:00:00"
"PROB_169","Mensuration","Curved Surface Area","12","4","Synthetic","253","7","5","3","5","50","420","0.5503680869677712","2.1","1","2024-09-02 00:00:00"
"PROB_170","Probability","Combinations","8","5","NCERT","276","5","3","2","10","22","420","","1.1","1","2024-10-02 00:00:00"
"PROB_171","Algebra","Quadratic Equations","9","4","NCERT","136","5","8","4","7","14","420","0.5475677786775601","1.6","1","2024-08-04 00:00:00"
"PROB_172","Arithmetic","Compound Interest","7","4","Synthetic","189","4","3","3","8","12","416","0.6200701169599028","1.7","1","2024-10-05 00:00:00"
"PROB_173","Mensuration","Perimeter","8","2","Synthetic","70","3","3","2","3","25","337","0.7320544823297516","1.6","0","2024-09-09 00:00:00"
"PROB_174","Mensuration","Area","7","5","NCERT","114","5","4","1","7","10","420","0.4393947458124083","2.0","1","2024-08-27 00:00:00"
"PROB_175","Mensuration","Volume","11","4","User-Generated","86","4","5","4","9","15","420","0.42011732924812756","2.2","1","2024-09-15 00:00:00"
"PROB_176","Probability","Basic Probability","9","5","User-Generated","263","8","6","2","10","13","420","0.5416942608563888","1.9","1","2024-09-01 00:00:00"
"PROB_177","Arithmetic","Compound Interest","10","5","NCERT","244","2","3","3","9","50","420","","1.1","1","2024-09-01 00:00:00"
"PROB_178","Probability","Permutations","10","3","NCERT","195","8","7","3","6","26","411","0.4216298669676487","2.0","1","2024-09-08 00:00:00"
"PROB_179","Ratios","Direct Variation","9","2","NCERT","153","8","8","1","3","13","297","","2.3","0","2024-10-10 00:00:00"
"PROB_180","Probability","Basic Probability","8","3","Synthetic","127","6","2","4","7","26","387","","1.7","1","2024-08-21 00:00:00"
"PROB_181","Geometry","Circles","12","5","NCERT","262","7","2","2","6","10","420","0.34432597551493593","1.9","0","2024-08-26 00:00:00"
"PROB_182","Probability","Probability Distributions","6","4","User-Generated","153","7","4","1","7","50","420","0.5109958494364419","2.1","1","2024-08-17 00:00:00"
"PROB_183","Probability","Probability Distributions","9","5","Synthetic","230","3","8","1","7","34","420","0.38899846086827217","2.4","1","2024-09-05 00:00:00"
"PROB_184","Number Theory","Prime Numbers","12","5","NCERT","180","5","6","1","8","19","420","","2.0","1","2024-08-14 00:00:00"
"PROB_185","Probability","Conditional Probability","7","5","Synthetic","130","8","3","2","10","8","420","0.5016804949691641","2.0","1","2024-09-04 00:00:00"
"PROB_186","Statistics","Mean Median Mode","9","1","User-Generated","238","6","9","4","2","15","226","0.9101859914421949","1.3","1","2024-10-05 00:00:00"
"PROB_187","Number Theory","Prime Numbers","12","3","NCERT","240","4","6","3","5","36","360","","2.0","1","2024-09-26 00:00:00"
"PROB_188","Algebra","Systems of Equations","10","5","Synthetic","241","6","4","4","9","26","420","0.5143816417515013","1.9","1","2024-08-23 00:00:00"
"PROB_189","Arithmetic","Profit and Loss","11","1","NCERT","188","6","7","2","2","10","282","0.95","1.3","0","2024-08-07 00:00:00"
"PROB_190","Ratios","Direct Variation","10","3","Synthetic","139","6","4","2","5","50","291","0.7244767428710398","1.7","0","2024-10-20 00:00:00"
"PROB_191","Number Theory","Divisibility","8","2","User-Generated","169","5","8","1","6","8","324","0.7778673391396902","1.3","1","2024-09-27 00:00:00"
"PROB_192","Algebra","Logarithms","8","1","NCERT","87","2","3","1","2","15","314","0.8223625082287942","1.2","0","2024-08-12 00:00:00"
"PROB_193","Probability","Conditional Probability","10","3","User-Generated","122","7","5","1","8","8","328","0.6069883393776148","1.9","1","2024-09-01 00:00:00"
"PROB_194","Algebra","Polynomials","6","3","Synthetic","282","5","4","1","4","7","343","0.5050838332989969","2.1","1","2024-08-07 00:00:00"
"PROB_195","Geometry","Congruence","6","1","NCERT","187","8","6","4","4","18","335","0.7913387925210916","1.3","1","2024-10-25 00:00:00"
