interaction_id,user_id,problem_id,session_id,timestamp,time_of_day,day_of_week,days_since_last_session,grade_level,study_hours_per_week,previous_math_score,tutoring_received,learning_style,device_type,topic,difficulty_level,problem_length_words,equation_count,attempt_number,hint_used,response_time_seconds,user_accuracy,confidence_rating,solver_success,user_feedback_rating
INT_0066,USR_057,PROB_018,SES_0481,2024-09-26 20:19:50,evening,Thursday,-20,10,5,75,no,kinesthetic,tablet,Calculus,1,59,1,4,yes,142,1,5,1,4
INT_0067,USR_071,PROB_190,SES_0918,2024-08-06 14:58:51,afternoon,Tuesday,56,11,8,71,no,auditory,mobile,Calculus,1,76,3,4,no,169,0,3,0,5
INT_0068,USR_068,PROB_134,SES_0625,2024-08-21 11:23:58,morning,Wednesday,-18,9,11,73,no,visual,desktop,Ratios,1,66,2,2,yes,209,0,4,1,2
INT_0069,USR_011,PROB_150,SES_0680,2024-08-19 11:19:41,morning,Monday,88,11,11,46,no,visual,tablet,Statistics,2,146,2,1,yes,210,1,5,1,3
INT_0070,USR_086,PROB_109,SES_0521,2024-09-16 00:23:19,night,Monday,-44,7,10,92,yes,auditory,mobile,Geometry,3,125,3,1,no,171,1,5,0,3
INT_0071,USR_017,PROB_153,SES_0386,2024-08-20 05:11:53,morning,Tuesday,87,12,14,51,no,visual,tablet,Ratios,3,223,3,5,no,447,1,5,1,5
INT_0072,USR_061,PROB_050,SES_0377,2024-10-26 18:28:29,evening,Saturday,-18,12,11,94,no,auditory,mobile,Number Theory,1,85,3,1,no,160,1,5,1,3
INT_0073,USR_011,PROB_196,SES_0165,2024-09-04 14:57:32,afternoon,Wednesday,-53,12,11,41,no,auditory,tablet,Ratios,3,288,1,1,no,437,0,5,1,
INT_0074,USR_013,PROB_183,SES_0666,2024-09-12 04:08:02,night,Thursday,-17,12,12,47,no,reading/writing,tablet,Number Theory,1,51,4,1,yes,81,0,4,1,4
INT_0075,USR_031,PROB_078,SES_0125,2024-08-07 07:26:40,morning,Wednesday,69,9,6,44,no,reading/writing,desktop,Statistics,3,54,2,2,no,258,0,1,1,2
INT_0076,USR_086,PROB_022,SES_0537,2024-09-16 02:33:34,night,Monday,39,12,13,32,no,reading/writing,mobile,Trigonometry,3,145,1,1,no,311,0,3,1,4
INT_0077,USR_043,PROB_035,SES_0046,2024-09-15 17:21:52,evening,Sunday,74,7,15,89,no,reading/writing,desktop,Probability,2,257,1,3,no,308,0,1,1,3
INT_0078,USR_040,PROB_132,SES_0408,2024-10-09 15:16:02,afternoon,Wednesday,75,7,9,75,no,visual,desktop,Ratios,3,119,1,2,no,211,1,5,1,4
INT_0079,USR_064,PROB_095,SES_0947,2024-10-06 08:51:05,morning,Sunday,18,6,11,53,no,kinesthetic,mobile,Geometry,5,133,3,1,no,430,0,3,0,
INT_0080,USR_046,PROB_158,SES_0446,2024-09-05 20:50:03,evening,Thursday,-71,11,15,81,no,auditory,mobile,Probability,1,267,2,3,yes,291,0,3,1,3
INT_0081,USR_078,PROB_040,SES_0696,2024-09-27 11:23:28,morning,Friday,-71,10,7,76,no,kinesthetic,mobile,Geometry,1,56,3,2,yes,170,1,3,1,5
INT_0082,USR_037,PROB_178,SES_0939,2024-10-02 06:07:08,morning,Wednesday,-72,9,7,86,no,kinesthetic,desktop,Ratios,4,231,1,2,no,283,1,5,1,5
INT_0083,USR_066,PROB_058,SES_0125,2024-08-26 04:15:50,night,Monday,36,6,10,77,no,auditory,desktop,Geometry,4,66,2,5,no,329,0,3,1,
INT_0084,USR_041,PROB_165,SES_0076,2024-09-27 14:43:33,afternoon,Friday,-2,7,13,53,no,auditory,tablet,Statistics,3,283,3,4,no,551,0,1,1,5
INT_0085,USR_067,PROB_073,SES_0867,2024-08-11 08:12:40,morning,Sunday,51,8,7,68,no,visual,desktop,Probability,2,201,4,1,no,201,1,4,1,5
INT_0086,USR_004,PROB_021,SES_0047,2024-10-22 18:16:41,evening,Tuesday,-37,12,14,83,no,visual,tablet,Statistics,1,124,2,1,yes,129,1,4,1,3
INT_0087,USR_054,PROB_124,SES_0476,2024-08-27 10:38:09,morning,Tuesday,-10,12,10,74,no,auditory,tablet,Statistics,2,193,1,1,yes,282,1,2,0,4
INT_0088,USR_054,PROB_064,SES_0986,2024-08-21 10:59:36,morning,Wednesday,-10,7,7,93,no,reading/writing,tablet,Mensuration,3,177,1,5,no,372,1,3,1,
INT_0089,USR_064,PROB_153,SES_0904,2024-10-23 21:30:18,night,Wednesday,47,6,6,85,yes,kinesthetic,desktop,Ratios,3,245,2,1,yes,477,1,4,1,4
INT_0090,USR_071,PROB_072,SES_0846,2024-10-19 21:39:07,night,Saturday,-58,6,11,77,no,kinesthetic,desktop,Ratios,2,243,1,3,no,511,0,1,1,3
INT_0091,USR_020,PROB_156,SES_0915,2024-10-05 04:20:59,night,Saturday,66,8,7,80,no,kinesthetic,desktop,Ratios,3,179,3,2,no,222,0,4,1,5
INT_0092,USR_075,PROB_079,SES_0816,2024-10-28 20:01:38,evening,Monday,31,8,15,59,no,reading/writing,mobile,Statistics,1,211,3,3,yes,246,1,3,1,3
INT_0093,USR_057,PROB_081,SES_0429,2024-08-20 13:44:13,afternoon,Tuesday,15,10,14,90,no,visual,desktop,Probability,2,182,1,1,no,304,1,3,1,4
INT_0094,USR_046,PROB_174,SES_0791,2024-10-27 20:51:44,evening,Sunday,-23,10,12,54,no,kinesthetic,desktop,Mensuration,3,107,4,5,no,257,1,4,1,5
INT_0095,USR_093,PROB_071,SES_0295,2024-08-16 18:43:34,evening,Friday,7,9,10,48,yes,kinesthetic,desktop,Geometry,1,138,4,3,no,97,0,4,0,1
INT_0096,USR_014,PROB_158,SES_0759,2024-10-15 07:15:03,morning,Tuesday,81,10,8,59,yes,reading/writing,tablet,Calculus,2,75,3,1,no,248,1,3,1,4
INT_0097,USR_084,PROB_052,SES_0775,2024-09-06 10:18:41,morning,Friday,-75,12,6,59,no,visual,mobile,Trigonometry,3,275,3,5,yes,217,1,5,1,5
INT_0098,USR_038,PROB_010,SES_0010,2024-09-08 18:38:06,evening,Sunday,-5,8,12,93,no,auditory,desktop,Calculus,3,119,1,1,yes,300,1,3,1,5
INT_0099,USR_073,PROB_173,SES_0776,2024-08-25 05:39:54,morning,Sunday,73,9,11,95,yes,reading/writing,desktop,Geometry,1,97,4,2,no,165,0,2,1,3
INT_0100,USR_075,PROB_186,SES_0587,2024-08-02 08:41:23,morning,Friday,87,7,5,45,no,auditory,tablet,Statistics,3,286,3,3,yes,231,0,4,0,1
INT_0101,USR_018,PROB_123,SES_0157,2024-09-28 23:38:23,night,Saturday,16,11,13,90,no,auditory,mobile,Number Theory,3,273,3,2,no,404,0,4,0,4
INT_0102,USR_026,PROB_147,SES_0550,2024-08-20 05:20:54,morning,Tuesday,43,9,6,56,no,reading/writing,mobile,Statistics,4,164,3,2,no,450,0,1,0,3
INT_0103,USR_051,PROB_066,SES_0837,2024-08-01 23:13:37,night,Thursday,-72,6,11,74,no,visual,mobile,Calculus,1,58,1,1,yes,99,1,5,1,5
INT_0104,USR_058,PROB_097,SES_0385,2024-08-11 21:42:55,night,Sunday,48,7,15,74,yes,reading/writing,desktop,Probability,3,236,4,4,no,378,1,4,1,4
INT_0105,USR_030,PROB_064,SES_0472,2024-09-14 04:17:12,night,Saturday,-62,6,15,83,no,visual,mobile,Arithmetic,3,67,1,1,no,524,1,1,1,4
INT_0106,USR_028,PROB_194,SES_0885,2024-08-08 04:32:18,night,Thursday,-31,12,14,70,no,kinesthetic,mobile,Mensuration,3,274,1,3,yes,465,0,1,1,5
INT_0107,USR_081,PROB_174,SES_0438,2024-10-11 15:03:22,afternoon,Friday,74,11,11,70,no,reading/writing,mobile,Mensuration,4,146,1,2,yes,398,0,4,0,1
INT_0108,USR_053,PROB_107,SES_0571,2024-10-07 04:24:15,night,Monday,-25,7,10,40,no,kinesthetic,mobile,Statistics,2,235,3,1,yes,340,1,1,0,2
INT_0109,USR_086,PROB_144,SES_0223,2024-10-01 06:55:58,morning,Tuesday,-5,8,5,57,no,visual,desktop,Calculus,2,284,1,3,yes,280,1,4,1,4
INT_0110,USR_046,PROB_079,SES_0268,2024-09-16 16:56:31,afternoon,Monday,29,6,12,70,no,kinesthetic,tablet,Trigonometry,2,61,2,1,yes,195,1,5,1,3
INT_0111,USR_043,PROB_059,SES_0389,2024-10-12 07:31:35,morning,Saturday,77,11,10,62,no,reading/writing,desktop,Calculus,5,167,1,3,yes,173,1,4,1,5
INT_0112,USR_008,PROB_135,SES_0035,2024-08-10 21:03:48,night,Saturday,-89,9,7,59,yes,auditory,mobile,Arithmetic,3,179,2,1,no,154,1,5,1,
INT_0113,USR_069,PROB_142,SES_0422,2024-08-02 00:33:46,night,Friday,-20,10,9,32,no,reading/writing,mobile,Geometry,2,285,1,1,yes,401,1,5,1,4
INT_0114,USR_052,PROB_118,SES_0579,2024-09-01 22:14:19,night,Sunday,85,12,6,34,yes,reading/writing,tablet,Statistics,3,171,1,1,yes,199,1,4,1,5
INT_0115,USR_013,PROB_136,SES_0942,2024-08-06 07:13:57,morning,Tuesday,87,10,12,64,yes,visual,desktop,Mensuration,2,280,2,3,yes,361,1,1,1,5
INT_0116,USR_051,PROB_020,SES_0307,2024-08-21 18:15:36,evening,Wednesday,9,11,13,72,no,auditory,desktop,Geometry,2,178,3,1,yes,265,1,2,1,5
INT_0117,USR_100,PROB_084,SES_0031,2024-10-21 08:50:28,morning,Monday,35,7,10,78,no,reading/writing,mobile,Number Theory,3,125,3,3,yes,219,0,3,1,3
INT_0118,USR_014,PROB_024,SES_0006,2024-09-09 14:23:48,afternoon,Monday,-21,6,7,41,yes,reading/writing,desktop,Statistics,5,181,2,1,yes,476,0,3,0,1
INT_0119,USR_050,PROB_200,SES_0087,2024-10-11 07:36:33,morning,Friday,-47,11,11,51,yes,kinesthetic,tablet,Calculus,1,87,1,2,no,162,1,2,1,5
INT_0120,USR_077,PROB_158,SES_0201,2024-09-28 03:08:19,night,Saturday,-89,9,10,78,no,kinesthetic,tablet,Ratios,2,160,3,4,no,301,0,2,1,3
INT_0121,USR_051,PROB_082,SES_0299,2024-10-28 20:31:36,evening,Monday,-28,8,11,65,no,reading/writing,tablet,Geometry,2,288,2,2,no,293,1,4,1,5
INT_0122,USR_057,PROB_075,SES_0852,2024-10-28 02:52:54,night,Monday,14,11,12,47,no,auditory,tablet,Probability,3,233,2,2,no,411,1,4,1,5
INT_0123,USR_054,PROB_140,SES_0038,2024-09-16 22:57:51,night,Monday,47,10,15,40,yes,auditory,desktop,Ratios,1,92,2,1,no,140,1,4,1,4
INT_0124,USR_002,PROB_026,SES_0265,2024-08-29 16:47:33,afternoon,Thursday,52,10,14,58,no,reading/writing,tablet,Number Theory,2,226,2,1,yes,219,0,2,1,5
INT_0125,USR_019,PROB_090,SES_0320,2024-09-13 14:50:13,afternoon,Friday,43,9,10,90,yes,reading/writing,tablet,Geometry,5,126,1,3,yes,418,0,1,1,4
INT_0126,USR_067,PROB_045,SES_0566,2024-08-21 10:35:27,morning,Wednesday,28,7,11,53,yes,reading/writing,tablet,Algebra,1,238,2,1,no,292,1,5,1,5
INT_0127,USR_009,PROB_148,SES_0105,2024-10-08 05:23:20,morning,Tuesday,-40,9,6,63,no,reading/writing,desktop,Ratios,5,202,2,2,yes,538,0,2,0,3
INT_0128,USR_079,PROB_152,SES_0087,2024-10-26 04:20:07,night,Saturday,-29,8,6,53,no,auditory,desktop,Trigonometry,1,157,2,2,no,161,1,4,1,3
INT_0129,USR_022,PROB_126,SES_0296,2024-08-18 05:20:53,morning,Sunday,25,10,5,75,no,reading/writing,mobile,Arithmetic,4,258,2,2,no,306,0,2,1,2
INT_0130,USR_073,PROB_008,SES_0815,2024-08-29 09:02:17,morning,Thursday,-33,10,9,51,no,reading/writing,desktop,Statistics,3,78,2,1,no,306,1,4,1,4
INT_0131,USR_028,PROB_109,SES_0105,2024-10-23 07:19:55,morning,Wednesday,-82,9,9,74,no,visual,tablet,Geometry,1,248,3,1,no,229,1,5,1,5
INT_0132,USR_027,PROB_053,SES_0825,2024-08-08 18:22:34,evening,Thursday,-19,10,13,51,yes,kinesthetic,tablet,Number Theory,1,118,4,2,no,117,1,2,1,2
INT_0133,USR_036,PROB_168,SES_0130,2024-10-29 04:15:09,night,Tuesday,-8,12,8,80,no,kinesthetic,desktop,Trigonometry,2,146,2,3,no,145,0,2,0,2
INT_0134,USR_063,PROB_084,SES_0596,2024-08-01 23:05:46,night,Thursday,27,11,15,75,no,reading/writing,mobile,Trigonometry,4,261,1,1,no,222,0,3,1,3
INT_0135,USR_088,PROB_196,SES_0050,2024-08-06 03:40:50,night,Tuesday,27,6,6,50,no,visual,tablet,Arithmetic,2,226,4,4,yes,283,1,5,0,1
INT_0136,USR_086,PROB_167,SES_0170,2024-08-07 12:40:19,afternoon,Wednesday,89,12,8,84,no,visual,mobile,Arithmetic,4,172,1,2,no,196,0,1,0,4
INT_0137,USR_089,PROB_034,SES_0490,2024-08-10 07:24:05,morning,Saturday,-64,6,10,77,no,auditory,tablet,Probability,4,214,4,1,no,368,0,3,0,2
INT_0138,USR_020,PROB_106,SES_0631,2024-10-27 14:55:13,afternoon,Sunday,-68,6,7,45,no,reading/writing,tablet,Trigonometry,1,130,3,1,no,199,0,3,1,5
INT_0139,USR_004,PROB_169,SES_0897,2024-09-08 06:33:38,morning,Sunday,40,7,11,67,no,auditory,tablet,Trigonometry,3,78,1,3,yes,204,1,1,1,4
INT_0140,USR_073,PROB_108,SES_0375,2024-10-09 21:11:48,night,Wednesday,30,12,6,32,no,visual,tablet,Arithmetic,3,60,4,5,yes,212,0,3,1,3
INT_0141,USR_082,PROB_138,SES_0551,2024-10-18 04:17:05,night,Friday,-11,6,13,56,no,auditory,desktop,Ratios,3,150,2,3,no,341,1,3,1,4
INT_0142,USR_032,PROB_023,SES_0947,2024-09-25 03:29:39,night,Wednesday,65,6,9,52,yes,auditory,desktop,Algebra,4,91,2,1,no,192,1,3,1,5
INT_0143,USR_094,PROB_031,SES_0790,2024-08-04 10:51:27,morning,Sunday,-21,10,6,63,no,visual,tablet,Calculus,5,180,2,2,no,165,0,2,0,3
INT_0144,USR_030,PROB_190,SES_0522,2024-08-01 01:54:55,night,Thursday,-87,7,5,90,no,auditory,mobile,Algebra,2,191,3,3,no,300,0,1,1,4
INT_0145,USR_074,PROB_096,SES_0123,2024-10-04 21:57:03,night,Friday,-45,7,13,35,no,visual,tablet,Mensuration,3,248,3,1,no,271,0,1,1,3
INT_0146,USR_060,PROB_095,SES_0606,2024-10-03 06:46:57,morning,Thursday,49,12,8,49,yes,reading/writing,mobile,Arithmetic,2,188,2,4,no,216,1,1,1,5
INT_0147,USR_014,PROB_053,SES_0543,2024-08-31 13:31:03,afternoon,Saturday,-54,11,9,41,yes,auditory,desktop,Trigonometry,2,229,3,2,no,344,1,4,1,5
INT_0148,USR_008,PROB_112,SES_0679,2024-08-17 07:18:16,morning,Saturday,-10,12,11,71,yes,kinesthetic,mobile,Geometry,3,291,1,3,no,281,0,1,1,3
INT_0149,USR_099,PROB_054,SES_0463,2024-09-09 14:16:54,afternoon,Monday,-60,6,7,68,no,visual,mobile,Ratios,4,87,1,1,yes,331,0,3,0,1
INT_0150,USR_052,PROB_116,SES_0570,2024-10-10 07:06:29,morning,Thursday,-64,12,7,45,yes,auditory,mobile,Arithmetic,3,260,2,3,no,404,0,3,1,
INT_0151,USR_009,PROB_051,SES_0925,2024-10-22 14:51:08,afternoon,Tuesday,-67,12,10,45,yes,reading/writing,mobile,Probability,2,286,2,4,yes,252,0,3,0,1
INT_0152,USR_036,PROB_115,SES_0905,2024-08-20 01:39:39,night,Tuesday,67,7,15,67,no,reading/writing,mobile,Geometry,3,121,2,2,no,320,1,3,1,1
